dqc_category,dqc_field,dqc_value,dqc_rule,record_count,frequency_pct,source_file,source_row_number,month,town,flat_type,flat_model,storey_range,floor_area_sqm,remaining_lease,remaining_lease_decade,price_per_sqm,resale_price
rare value,block,150A,block frequency count <= 1,1,0.0011,d_2d5ff9ea31397b66239f245f57751537.csv,256,2012-03,BISHAN,4 ROOM,SIMPLIFIED,01 TO 05,84.0,61 years 4 months,,,390000.0
rare value,block,640A,block frequency count <= 1,1,0.0011,d_2d5ff9ea31397b66239f245f57751537.csv,2361,2012-03,YISHUN,EXECUTIVE,APARTMENT,01 TO 05,164.0,64 years 4 months,,,655000.0
rare value,block,10C,block frequency count <= 1,1,0.0011,d_2d5ff9ea31397b66239f245f57751537.csv,21759,2013-02,BEDOK,EXECUTIVE,APARTMENT,01 TO 03,142.0,67 years 4 months,,,773000.0
rare value,block,828A,block frequency count <= 1,1,0.0011,d_2d5ff9ea31397b66239f245f57751537.csv,23205,2013-03,JURONG WEST,EXECUTIVE,MAISONETTE,01 TO 03,149.0,65 years 4 months,,,580000.0
rare value,block,863B,block frequency count <= 1,1,0.0011,d_2d5ff9ea31397b66239f245f57751537.csv,33548,2013-10,TAMPINES,4 ROOM,MODEL A,01 TO 03,104.0,60 years 4 months,,,448000.0
rare value,block,856E,block frequency count <= 1,1,0.0011,d_2d5ff9ea31397b66239f245f57751537.csv,35914,2013-12,TAMPINES,EXECUTIVE,APARTMENT,04 TO 06,147.0,67 years 4 months,,,750000.0
rare value,block,905,block frequency count <= 1,1,0.0011,d_ea9ed51da2787afaf8e51f827c304208.csv,18368,2016-01,JURONG WEST,4 ROOM,MODEL A,01 TO 03,108.0,60 years 4 months,,,330000.0
rare value,block,80C,block frequency count <= 1,1,0.0011,d_ea9ed51da2787afaf8e51f827c304208.csv,36063,2016-12,BUKIT MERAH,3 ROOM,PREMIUM APARTMENT,04 TO 06,68.0,85 years 4 months,,,510000.0
rare value,block,476C,block frequency count <= 1,1,0.0011,d_ea9ed51da2787afaf8e51f827c304208.csv,36166,2016-12,CHOA CHU KANG,3 ROOM,MODEL A,10 TO 12,67.0,85 years 4 months,,,315000.0
rare value,block,617C,block frequency count <= 1,1,0.0011,d_ea9ed51da2787afaf8e51f827c304208.csv,36631,2016-12,PUNGGOL,5 ROOM,PREMIUM APARTMENT,13 TO 15,120.0,85 years 4 months,,,570000.0
rare value,block,618B,block frequency count <= 1,1,0.0011,d_ea9ed51da2787afaf8e51f827c304208.csv,36633,2016-12,PUNGGOL,5 ROOM,PREMIUM APARTMENT,16 TO 18,113.0,85 years 4 months,,,538000.0
