field,value,record_count,frequency_pct,first_month,last_month,is_rare,domain_decision,validation_action
flat_model,MODEL A,26100,28.69898,2012-01,2016-12,False,accepted_master_domain,accept
flat_model,IMPROVED,23657,26.012711,2012-01,2016-12,False,accepted_master_domain,accept
flat_model,NEW GENERATION,16103,17.706501,2012-01,2016-12,False,accepted_master_domain,accept
flat_model,PREMIUM APARTMENT,8176,8.990148,2012-01,2016-12,False,accepted_master_domain,accept
flat_model,SIMPLIFIED,5056,5.559465,2012-01,2016-12,False,accepted_master_domain,accept
flat_model,APARTMENT,3664,4.028853,2012-01,2016-12,False,accepted_master_domain,accept
flat_model,STANDARD,3381,3.717672,2012-01,2016-12,False,accepted_master_domain,accept
flat_model,MAISONETTE,2550,2.803923,2012-01,2016-12,False,accepted_master_domain,accept
flat_model,MODEL A2,1397,1.53611,2012-01,2016-12,False,accepted_master_domain,accept
flat_model,DBSS,272,0.299085,2014-03,2016-12,False,accepted_master_domain,accept
flat_model,MODEL A-MAISONETTE,151,0.166036,2012-01,2016-12,False,accepted_master_domain,accept
flat_model,ADJOINED FLAT,140,0.153941,2012-01,2016-12,False,accepted_master_domain,accept
flat_model,TYPE S1,134,0.147343,2014-12,2016-12,False,accepted_master_domain,accept
flat_model,TERRACE,60,0.065975,2012-01,2016-12,False,accepted_master_domain,accept
flat_model,TYPE S2,55,0.060477,2015-01,2016-11,False,accepted_master_domain,accept
flat_model,MULTI GENERATION,27,0.029689,2012-01,2016-12,False,accepted_master_domain,accept
flat_model,IMPROVED-MAISONETTE,9,0.009896,2012-07,2016-11,True,rare_in_master_dataset,dqc_review
flat_model,PREMIUM MAISONETTE,6,0.006597,2012-09,2016-04,True,rare_in_master_dataset,dqc_review
flat_model,PREMIUM APARTMENT LOFT,5,0.005498,2015-11,2016-12,True,rare_in_master_dataset,dqc_review
flat_model,2-ROOM,1,0.0011,2016-10,2016-10,True,rare_in_master_dataset,dqc_review
flat_type,4 ROOM,36044,39.633181,2012-01,2016-12,False,accepted_master_domain,accept
flat_type,3 ROOM,25557,28.101909,2012-01,2016-12,False,accepted_master_domain,accept
flat_type,5 ROOM,21114,23.216485,2012-01,2016-12,False,accepted_master_domain,accept
flat_type,EXECUTIVE,7223,7.94225,2012-01,2016-12,False,accepted_master_domain,accept
flat_type,2 ROOM,931,1.023707,2012-01,2016-12,False,accepted_master_domain,accept
flat_type,1 ROOM,48,0.05278,2012-01,2016-10,False,accepted_master_domain,accept
flat_type,MULTI-GENERATION,27,0.029689,2012-01,2016-12,False,accepted_master_domain,accept
storey_range,04 TO 06,20798,22.869018,2012-01,2016-12,False,accepted_master_domain,accept
storey_range,07 TO 09,18440,20.276214,2012-01,2016-12,False,accepted_master_domain,accept
storey_range,01 TO 03,17221,18.935829,2012-01,2016-12,False,accepted_master_domain,accept
storey_range,10 TO 12,15790,17.362333,2012-01,2016-12,False,accepted_master_domain,accept
